Hotel Names,Price,Amenities,Images
Roseate House New Delhi,"₹4,257","['Free Wifi', 'Free parking']",https://www.tripadvisor.com/Hotel_Review-g304551-d11561000-Reviews-Roseate_House_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html
The Roseate New Delhi,"₹8,449","['Free Wifi', 'Free parking']",https://www.tripadvisor.com/Hotel_Review-g304551-d4579616-Reviews-The_Roseate_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html
Radisson Blu Plaza Delhi Airport,"₹3,502","['Free Wifi', 'Free parking']",https://www.tripadvisor.com/Hotel_Review-g304551-d306957-Reviews-Radisson_Blu_Plaza_Delhi_Airport-New_Delhi_National_Capital_Territory_of_Delhi.html
The Muse Sarovar Portico New Delhi Kapashera,"₹2,292","['Free Wifi', 'Free parking']",https://www.tripadvisor.com/Hotel_Review-g304551-d11983212-Reviews-The_Muse_Sarovar_Portico_New_Delhi_Kapashera-New_Delhi_National_Capital_Territory_of_.html
Hotel Novotel New Delhi Aerocity,"₹2,379","['Free Wifi', 'Free parking']",https://www.tripadvisor.com/Hotel_Review-g304551-d8867537-Reviews-Hotel_Novotel_New_Delhi_Aerocity-New_Delhi_National_Capital_Territory_of_Delhi.html
"Pride Plaza Hotel Aerocity, New Delhi","₹2,925","['Free Wifi', 'Free parking']",https://www.tripadvisor.com/Hotel_Review-g304551-d9455235-Reviews-Pride_Plaza_Hotel_Aerocity_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html
"Taj Palace, New Delhi","₹3,920","['Free parking', 'Pool']",https://www.tripadvisor.com/Hotel_Review-g304551-d302181-Reviews-Taj_Palace_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html
The Park New Delhi,"₹3,898","['Free parking', 'Pool']",https://www.tripadvisor.com/Hotel_Review-g304551-d302332-Reviews-The_Park_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html
The Claridges Hotel,"₹5,400","['Free parking', 'Pool']",https://www.tripadvisor.com/Hotel_Review-g304551-d306937-Reviews-The_Claridges_Hotel-New_Delhi_National_Capital_Territory_of_Delhi.html
Vivanta New Delhi Dwarka,"₹3,333","['Free Wifi', 'Free parking']",https://www.tripadvisor.com/Hotel_Review-g304551-d7891473-Reviews-Vivanta_New_Delhi_Dwarka-New_Delhi_National_Capital_Territory_of_Delhi.html
Piccadily Hotel,"₹4,085","['Free parking', 'Pool']",https://www.tripadvisor.com/Hotel_Review-g304551-d1533565-Reviews-Piccadily_Hotel-New_Delhi_National_Capital_Territory_of_Delhi.html
